@relation 'final_predict-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT5)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT6)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT7)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT8)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT9)-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4-7'

@attribute actor_factor numeric
@attribute director_factor numeric
@attribute genre {Drama,Comedy,Action,Adventure,Animation,Horror,Documentary,Western,Thriller,Fantasy,History,Mystery,Romance,'Science Fiction',Family,War,Crime,Music,Foreign,'TV Movie'}
@attribute box_office numeric

@data
20,13,Comedy,4300000
15.6,3,Action,12136938
24,30,Adventure,775398007
16.6,20,Animation,940335536
22,20,Drama,677945399
17.6,5,Drama,356296601
6.8,20,Drama,23217674
12.6,20,Drama,40031879
28,20,Adventure,263920180
1.8,8,Drama,650422
5.2,1,Drama,9726954
34,20,Adventure,655011224
18,30,Action,180949000
21,5,Drama,96889998
14.2,20,Drama,89460381
21,30,Western,159157447
11,1,Animation,527068851
28,5,Drama,72258126
4.8,20,Drama,20908467
30,20,Adventure,1065659812
10.4,5,Drama,60740827
3.75,30,Adventure,68700000
26,20,Thriller,168840000
2.2,20,Drama,51001550
19,5,Drama,215000000
22,30,Drama,50068310
2.6,1,Drama,3357075
15.8,30,Drama,186438883
26,30,Drama,216763646
6.8,1,Drama,110000000
14.4,20,Drama,23875127
22.4,30,Adventure,591739379
26,30,Fantasy,101371017
9,1,Drama,5535405
10.6,30,Thriller,39723096
14.2,20,Drama,33139618
22.5,8,Adventure,177394432
9,1,Drama,15992615
1,30,Adventure,3301446
20,5,Adventure,163794509
1,3,Drama,54667954
16.6,30,Adventure,389925971
9.8,30,Adventure,333000000
8.4,3,Drama,213954274
21,30,Adventure,474171806
8.8,1,Action,316360478
29,30,Adventure,553799566
8.8,8,Action,299965036
12.5,3,Adventure,33000000
14.4,20,Adventure,457640427
6.8,20,Drama,67872296
20.2,20,Comedy,3897569
20.2,20,Drama,45284974
21.6,30,Drama,28262574
5.2,20,Drama,7267585
9.4,20,Adventure,381109762
12,3,Adventure,98235548
30,20,Thriller,83557872
16.2,3,Drama,65884703
2,3,Drama,6502364
16,20,Comedy,463000000
20.2,30,Comedy,46189568
22.4,20,Drama,85306374
22.4,3,Drama,76270454
14.4,30,Adventure,474968763
24,20,Adventure,871368364
24,20,Adventure,926287400
24,20,Adventure,1118888979
8.25,1,Adventure,30471420
3.75,30,Adventure,159375308
6.8,30,Adventure,274925095
17,30,Adventure,71000000
10.6,5,Fantasy,70906973
3,3,Horror,1012189
4.8,20,Drama,40266982
24,1,Fantasy,1270522
28,1,Drama,178043761
4.6,20,Drama,3803298
14.2,1,Adventure,213525736
1,1,Animation,553171
14.2,20,Drama,78868508
11,3,Adventure,139000000
22.2,10,Drama,119723856
12.4,20,Adventure,96800000
24,30,Drama,1004558444
12.4,30,Adventure,87000000
32,20,Thriller,450717150
22,30,Fantasy,53000000
30,20,Thriller,362744280
6.2,1,Drama,9500000
13.8,20,Adventure,332000000
16.2,3,Drama,50315140
12.4,30,Adventure,133000000
10.6,3,Action,57120318
10.4,20,Horror,82719885
12.4,20,Adventure,70200000
5.4,1,Adventure,28200000
12.4,20,Adventure,96900000
10.8,20,Drama,41895491
18.2,3,Drama,30156002
12.4,3,Thriller,162944923
20.2,30,Action,358372926
24.6,20,Drama,5914908
8,1,Adventure,14278900
15.6,30,Drama,39673162
2.8,30,Drama,26589000
26,1,Drama,56308881
20,20,Action,158733820
26,20,Thriller,39407616
10.6,3,Drama,77200000
14.6,1,Adventure,120000000
5,3,Comedy,173921954
11.8,20,Adventure,244527583
17,30,Drama,210000000
20,20,Adventure,150000000
13.6,20,Adventure,118000000
13.6,1,Adventure,67312826
12.8,30,Drama,3000000
10.8,3,Drama,38000000
14.8,1,Drama,235860116
9.8,10,Thriller,13275000
6,1,Horror,152925093
30,30,Adventure,786636033
20.2,30,Action,78371200
6.8,20,Drama,85582407
9.8,10,Drama,6000000
10.8,1,Drama,11540607
