@relation 'final_predict-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT5)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT6)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT7)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT8)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT9)-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4,6-8'

@attribute actor_factor numeric
@attribute director_factor numeric
@attribute genre {Drama,Comedy,Action,Adventure,Animation,Horror,Documentary,Western,Thriller,Fantasy,History,Mystery,Romance,'Science Fiction',Family,War,Crime,Music,Foreign,'TV Movie'}
@attribute score_cn numeric

@data
20,13,Comedy,7.2
15.6,3,Action,0
24,30,Adventure,8.3
16.6,20,Animation,8.2
22,20,Drama,9.4
17.6,5,Drama,8.4
6.8,20,Drama,8.5
12.6,20,Drama,8.3
28,20,Adventure,7.9
1.8,8,Drama,8.9
5.2,1,Drama,8.1
34,20,Adventure,8.6
18,30,Action,8
21,5,Drama,7.4
14.2,20,Drama,8.3
21,30,Western,8.4
11,1,Animation,8.4
28,5,Drama,8.4
4.8,20,Drama,8.2
30,20,Adventure,8.1
10.4,5,Drama,7.4
3.75,30,Adventure,8.6
26,20,Thriller,8
2.2,20,Drama,8.6
19,5,Drama,8
22,30,Drama,6.8
2.6,1,Drama,7.7
15.8,30,Drama,7.8
26,30,Drama,8.5
6.8,1,Drama,8.7
14.4,20,Drama,8.5
22.4,30,Adventure,6.5
26,30,Fantasy,7.2
9,1,Drama,8.7
10.6,30,Thriller,8.5
14.2,20,Drama,8.1
22.5,8,Adventure,6.8
9,1,Drama,8.7
1,30,Adventure,8.8
20,5,Adventure,5.5
1,3,Drama,6.2
16.6,30,Adventure,7.8
9.8,30,Adventure,7.7
8.4,3,Drama,7.8
21,30,Adventure,8.1
8.8,1,Action,6.8
29,30,Adventure,7.7
8.8,8,Action,6.5
12.5,3,Adventure,7.3
14.4,20,Adventure,8.4
6.8,20,Drama,8.5
20.2,20,Comedy,9
20.2,20,Drama,9.4
21.6,30,Drama,8.4
5.2,20,Drama,8.1
9.4,20,Adventure,8.4
12,3,Adventure,7.5
30,20,Thriller,8.5
16.2,3,Drama,8.2
2,3,Drama,8.5
16,20,Comedy,7.9
20.2,30,Comedy,7.6
22.4,20,Drama,8
22.4,3,Drama,7.7
14.4,30,Adventure,7.9
24,20,Adventure,8.9
24,20,Adventure,8.9
24,20,Adventure,9.1
