@relation 'final_predict-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT5)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT6)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT7)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT8)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT9)-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R5-8'

@attribute actor_factor numeric
@attribute director_factor numeric
@attribute genre {Drama,Comedy,Action,Adventure,Animation,Horror,Documentary,Western,Thriller,Fantasy,History,Mystery,Romance,'Science Fiction',Family,War,Crime,Music,Foreign,'TV Movie'}
@attribute score_en numeric

@data
20,13,Comedy,6.7
15.6,3,Action,6.6
24,30,Adventure,8.7
16.6,20,Animation,8.1
22,20,Drama,8.8
17.6,5,Drama,8.4
6.8,20,Drama,8.4
12.6,20,Drama,8
28,20,Adventure,7.7
1.8,8,Drama,8.3
5.2,1,Drama,7.6
34,20,Adventure,8
18,30,Action,8.1
21,5,Drama,7
14.2,20,Drama,8.5
21,30,Western,8.2
11,1,Animation,7.4
28,5,Drama,8.3
4.8,20,Drama,8.1
30,20,Adventure,7.3
10.4,5,Drama,7.5
3.75,30,Adventure,8.3
26,20,Thriller,8
2.2,20,Drama,8
19,5,Drama,7
22,30,Drama,6.7
2.6,1,Drama,7.5
15.8,30,Drama,7.9
26,30,Drama,8.1
6.8,1,Drama,7.7
14.4,20,Drama,8.5
22.4,30,Adventure,6.5
26,30,Fantasy,6.3
9,1,Drama,8.1
10.6,30,Thriller,8.5
14.2,20,Drama,8.2
22.5,8,Adventure,7.9
9,1,Drama,8
1,30,Adventure,8.1
20,5,Adventure,6
1,3,Drama,5.7
16.6,30,Adventure,8.5
9.8,30,Adventure,7.6
8.4,3,Drama,6.9
21,30,Adventure,8.3
8.8,1,Action,7.3
29,30,Adventure,6.6
8.8,8,Action,6.5
12.5,3,Adventure,6.8
14.4,20,Adventure,8.5
6.8,20,Drama,7.9
20.2,20,Comedy,8.2
20.2,20,Drama,8.6
21.6,30,Drama,8.3
5.2,20,Drama,7.8
9.4,20,Adventure,8.5
12,3,Adventure,7.8
30,20,Thriller,8.3
16.2,3,Drama,8.3
2,3,Drama,8.1
16,20,Comedy,6.9
20.2,30,Comedy,8.2
22.4,20,Drama,7.7
22.4,3,Drama,7.9
14.4,30,Adventure,6.7
24,20,Adventure,8.8
24,20,Adventure,8.7
24,20,Adventure,8.9
8.25,1,Adventure,6.2
3.75,30,Adventure,8.4
6.8,30,Adventure,8.6
17,30,Adventure,7.8
10.6,5,Fantasy,8
3,3,Horror,7.6
4.8,20,Drama,7.5
24,1,Fantasy,8.1
28,1,Drama,7.7
4.6,20,Drama,7.9
14.2,1,Adventure,7.9
1,1,Animation,8.1
14.2,20,Drama,6.9
11,3,Adventure,6.4
22.2,10,Drama,7.8
12.4,20,Adventure,7.7
24,30,Drama,9
12.4,30,Adventure,6.6
32,20,Thriller,7.8
22,30,Fantasy,7.9
30,20,Thriller,6.5
6.2,1,Drama,7.7
13.8,20,Adventure,7.8
16.2,3,Drama,7.4
12.4,30,Adventure,7.3
10.6,3,Action,6.2
10.4,20,Horror,7.6
12.4,20,Adventure,5.4
5.4,1,Adventure,7.2
12.4,20,Adventure,7.2
10.8,20,Drama,7.6
18.2,3,Drama,6.2
12.4,3,Thriller,6.4
20.2,30,Action,7.7
24.6,20,Drama,6.1
8,1,Adventure,6
15.6,30,Drama,7.5
2.8,30,Drama,8.3
26,1,Drama,7.8
20,20,Action,8
26,20,Thriller,6.5
10.6,3,Drama,7.8
14.6,1,Adventure,6.6
5,3,Comedy,8.4
11.8,20,Adventure,7.4
17,30,Drama,8.4
20,20,Adventure,7.6
13.6,20,Adventure,6.4
13.6,1,Adventure,6.4
12.8,30,Drama,7.4
10.8,3,Drama,8.1
14.8,1,Drama,8
9.8,10,Thriller,8.4
6,1,Horror,6.6
30,30,Adventure,6.2
20.2,30,Action,8
6.8,20,Drama,7.6
9.8,10,Drama,8.2
10.8,1,Drama,7.6
16,20,Drama,7.2
26,8,Drama,7
12.4,20,Adventure,7.2
6.25,5,Drama,7.5
14,3,Drama,8.1
8.8,1,Drama,7.2
16.2,1,Drama,6.5
16.2,20,Drama,9.2
4.8,5,Comedy,8.3
20,20,Drama,9
26,10,Drama,7.3
17.6,20,Drama,7.6
10.6,1,Drama,7.5
2.8,1,Adventure,7.9
22.2,10.5,Drama,7.1
10.4,5,Drama,7.3
15,1,Fantasy,7
1.4,3,Fantasy,7.8
7.6,8,Adventure,6.8
24,20,Adventure,7.2
5.6,30,Drama,6.9
5.2,3,Drama,8.1
3.4,20,Drama,7.7
18.4,30,Fantasy,7.6
28,30,Drama,8.3
18.2,10,Drama,8.6
18.2,30,Drama,8.1
22.4,20,Fantasy,7
22,20,Drama,9.3
5.8,20,Drama,8.3
19.8,30,Action,8.5
18,3,Drama,7.2
6.8,5,Drama,8.3
30,20,Adventure,7.1
14.4,1,Comedy,7.1
3.8,1,Western,8
7.4,1,Drama,8.5
12,30,Drama,7.7
1.2,1,Documentary,7.9
15.25,5,Comedy,7.2
14,30,Drama,7.3
1.8,1,Drama,7
21.6,1,Action,6.4
26,1,Fantasy,7.1
29.6,20,Thriller,6.9
9,5,Fantasy,7.3
6.6,1,Drama,8
10.4,1,Thriller,6.8
8.8,10,Drama,8
7.2,5,Action,5.5
18,20,Drama,7.2
16.8,1,Fantasy,6.7
22.5,1,Drama,7.6
16.2,20,Action,3.3
18,8,Action,8
18.4,30,Thriller,7.2
3,1,Comedy,6.7
18,30,Drama,8
10.4,1,Horror,5.6
6.6,30,Drama,7.2
16.2,30,Adventure,8.1
18,30,Adventure,6.5
12.2,20,Adventure,5.9
26,3,Drama,8
12.4,1,Action,8.6
3,1,Drama,7.5
4.8,1,Drama,7.7
7.6,20,Drama,7.8
5.75,20,Drama,7.5
14.8,30,Drama,7.3
6.6,20,Drama,8.7
24,20,Horror,8.5
30,1,Drama,6.8
8.8,1,Drama,8
20,30,Fantasy,7
3.6,10,Horror,7.5
14.2,30,Comedy,7.4
10.6,30,Drama,7.8
14,8,Drama,8
3.6,10,Drama,7.5
4,20,Adventure,8.4
24,3,Drama,7.6
6.2,20,Drama,8.9
10.4,1,Western,8
24.2,1,Drama,7.3
16.4,30,Action,8
13.8,20,Adventure,5.6
6,3,Drama,8.1
8.25,1,Drama,7.4
14.4,1,Drama,6.8
14.2,20,Drama,7.5
12.6,20,Thriller,6.9
13,1,Drama,7.4
1,1,Fantasy,7.6
26,1,Drama,7.4
13.6,3,Adventure,6.9
22,1,Fantasy,5.4
26,1,Fantasy,3.7
24,20,Adventure,7.3
14.4,30,Drama,8.5
22,30,Drama,8.9
14.4,20,Adventure,7.6
5,10,Thriller,8.4
12.4,1,Western,8.9
2,5,Comedy,8
3.2,1,Thriller,7.3
5.8,1,Fantasy,7.8
18.8,20,Adventure,6.4
7,1,Drama,8.1
4.2,2,Fantasy,4.7
14,5,Drama,6.4
1,1,Drama,6.5
7,1,Drama,7.3
14.8,5,Drama,7.6
8.75,20,Drama,6.9
22,20,Drama,8.2
18.4,20,Drama,6.8
14.4,1,Drama,6.7
13.4,20,Drama,7.3
12.4,20,Drama,7.7
1.5,8,Drama,7.5
12.8,1,Drama,7.9
12.6,3,Drama,7.4
18.2,1,Adventure,5.9
1.8,1,Adventure,6.6
15.8,30,Comedy,7.2
8,20,Adventure,7.9
26,3,Drama,8.3
18.2,1,Fantasy,7.8
1.8,1,Adventure,6.1
3,1,Adventure,5.9
6.6,3,Comedy,7.3
24,20,Fantasy,8.5
22,30,Thriller,8.3
18.4,20,Adventure,5.6
16,3,Drama,7.3
24,20,Drama,6.1
5.2,10,Drama,7.2
4.6,1,Drama,6.5
21,3,Drama,7.7
17.6,1,Comedy,7
16.6,20,Drama,8.7
28,20,Comedy,6.7
1.2,1,Drama,7.3
1.8,10,Thriller,8.2
16.2,30,Drama,7.9
24,30,Drama,8.2
5.8,5,Action,7.9
18,8,Adventure,7
7,5,Drama,7.9
16,1,Adventure,7.5
22,8,Action,6.6
6.75,1,Drama,6.1
8.4,10,Drama,8.5
16,2,Comedy,7.1
5.8,5,Drama,7.4
24,30,Drama,6.6
6.6,20,Drama,8.3
18,1,Drama,6.9
10.6,5.5,Adventure,7.1
13.2,20,Drama,8
28,8,Fantasy,7.3
28,8,Adventure,7.3
23,8,Adventure,6.2
24.2,5,Fantasy,6.9
14.2,3,Action,8.2
15,20,Adventure,7.2
18,10,Adventure,7
18.2,20,Horror,7.1
9,10,Thriller,8.5
28,20,Drama,7.6
8,10,Horror,7.7
1.2,10,Drama,7.5
5.2,10,Adventure,7.5
4.6,1,Adventure,8
18.4,3,Fantasy,6.8
10.8,30,Adventure,8
3.2,20,Horror,5.7
5.6,1,Adventure,2.9
14.4,30,Adventure,8
3.6,1,Drama,8.5
9,5,Comedy,8.1
25.6,1,Action,5.9
21.6,8,Fantasy,8.1
18.2,8,Drama,7.1
17,30,Adventure,8
18,1,Horror,6.6
20.4,1,Drama,7.6
24,20,Thriller,6.6
15,20,Drama,7.9
22.4,30,Drama,7.3
1.8,1,Drama,8.3
24,30,Drama,7.7
1,1,Drama,8.7
1.5,5,Drama,8.5
12,30,Drama,8.3
12.8,30,Adventure,7.9
24,20,Adventure,6.9
18.2,15,Action,8.7
18.2,15,Adventure,7.2
18.2,15,Adventure,6.7
10.6,3,Drama,7.2
28,20,Adventure,7.3
24,20,Adventure,6.1
3,20,Horror,7.4
17.2,30,Drama,7.6
6.6,8,Drama,8.3
12.4,30,Drama,7.2
16.6,20,Drama,7.7
12.2,3,Drama,6.5
1.2,1,Drama,6.7
9,3,Drama,6.2
15.2,5,Fantasy,7.8
8.4,3,Romance,7.2
11,30,Horror,6.7
11.8,1,Comedy,7.6
8.4,1,Drama,7.9
20,20,Drama,8.2
34,1,Horror,7.6
11.6,30,Drama,8.6
3.6,1,Adventure,8.1
16.2,1,Drama,6.7
16.8,1,Horror,7.3
4.4,30,Drama,6.8
8.6,30,Drama,8.6
6.6,30,Drama,7.6
14.2,3,Drama,7.6
24.2,30,Drama,8.1
15,8,Drama,8.4
9.4,1,Drama,8.1
1,1,Drama,8
12.4,30,Adventure,7.1
9,1,Adventure,7.3
22,1,Drama,7.8
9.2,5,Drama,7.6
28,20,Adventure,7.2
8.4,1,Drama,8.2
8.4,1,Drama,8.1
8.6,1,Adventure,7.5
5.6,8,Adventure,7.8
6.75,1,Adventure,7
20,8,Adventure,6.3
6.4,8,Adventure,8.1
2.8,1,Drama,8
6.2,1,Adventure,6.9
10.2,1,Adventure,6.8
8.6,20,Drama,8.4
28,8,Adventure,7.5
26,8,Adventure,7.4
28,20,Adventure,7.8
30,20,Adventure,7.7
30,20,Adventure,7.5
30,30,History,6.1
17.6,30,Horror,8.4
30,30,Thriller,8.9
8.4,8,Adventure,6.7
13.2,8,Adventure,6.8
26,20,Drama,7.4
8.8,30,Drama,7.6
14,30,Drama,7.5
8,1,Adventure,7.1
22,1,Comedy,6.3
11.2,30,Horror,8.4
16,5,Drama,7.7
14.6,20,Drama,8
10.8,1,Adventure,6.3
11.4,20,Adventure,6.8
8.8,20,Adventure,6.6
7,1,Drama,8
7.2,20,Drama,8.1
4.8,1,Comedy,7.7
10.4,10,Drama,8.3
13,20,Adventure,6.3
12.8,20,Adventure,6.7
6.4,20,Adventure,6.6
20.6,1,Adventure,7.2
10.2,3,Drama,7.3
11.2,20,Drama,7.1
16,1,Drama,7.6
20.2,1,Adventure,6.5
17,8,Action,6.9
18,30,Drama,8.1
4.6,20,Drama,7.8
10.4,20,Horror,8
22,1,Fantasy,8.2
24,3,Action,7.3
20.2,20,Horror,7.3
7.3333,1,Animation,7.8
10,12.5,Adventure,8.3
1,20,Horror,7.6
8.6,8,Horror,7.5
7.2,8,Fantasy,7.8
28,20,Adventure,7.5
16.6,1,Horror,6.8
20,30,Drama,8.7
7.2,1,Drama,8.2
12.6,8,Comedy,7.5
12.6,8,Adventure,6.6
16.6,2,Drama,7.8
24,1,Thriller,7.8
6.8,20,Drama,8.1
1,1,Drama,7.8
14,1,Drama,7.9
