@relation 'final_predict-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT5)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT6)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT7)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT8)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT9)-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4-6,8'

@attribute actor_factor numeric
@attribute director_factor numeric
@attribute genre {Drama,Comedy,Action,Adventure,Animation,Horror,Documentary,Western,Thriller,Fantasy,History,Mystery,Romance,'Science Fiction',Family,War,Crime,Music,Foreign,'TV Movie'}
@attribute vote_cn numeric

@data
20,13,Comedy,4794
15.6,3,Action,0
24,30,Adventure,43383
16.6,20,Animation,137180
22,20,Drama,492620
17.6,5,Drama,125944
6.8,20,Drama,31974
12.6,20,Drama,43800
28,20,Adventure,86273
1.8,8,Drama,8915
5.2,1,Drama,3149
34,20,Adventure,236678
18,30,Action,133557
21,5,Drama,13015
14.2,20,Drama,34215
21,30,Western,20962
11,1,Animation,43792
28,5,Drama,98672
4.8,20,Drama,23075
30,20,Adventure,133518
10.4,5,Drama,9778
3.75,30,Adventure,61086
26,20,Thriller,87040
2.2,20,Drama,37211
19,5,Drama,29118
22,30,Drama,911
2.6,1,Drama,2373
15.8,30,Drama,8102
26,30,Drama,67888
6.8,1,Drama,40208
14.4,20,Drama,44953
22.4,30,Adventure,31766
26,30,Fantasy,16868
9,1,Drama,154654
10.6,30,Thriller,197477
14.2,20,Drama,39675
22.5,8,Adventure,86962
9,1,Drama,139761
1,30,Adventure,124178
20,5,Adventure,7420
1,3,Drama,942
16.6,30,Adventure,30585
9.8,30,Adventure,18843
8.4,3,Drama,2531
21,30,Adventure,23025
8.8,1,Action,922
29,30,Adventure,28888
8.8,8,Action,502
12.5,3,Adventure,3165
14.4,20,Adventure,86927
6.8,20,Drama,23581
20.2,20,Comedy,193368
20.2,20,Drama,573395
21.6,30,Drama,71169
5.2,20,Drama,105914
9.4,20,Adventure,49864
12,3,Adventure,11992
30,20,Thriller,79861
16.2,3,Drama,21194
2,3,Drama,39457
16,20,Comedy,59623
20.2,30,Comedy,18175
22.4,20,Drama,62238
22.4,3,Drama,6110
14.4,30,Adventure,139161
24,20,Adventure,217551
24,20,Adventure,193225
24,20,Adventure,203799
8.25,1,Adventure,2702
3.75,30,Adventure,165390
6.8,30,Adventure,460307
17,30,Adventure,20559
10.6,5,Fantasy,43274
3,3,Horror,577
4.8,20,Drama,15713
24,1,Fantasy,38595
28,1,Drama,223571
4.6,20,Drama,6208
14.2,1,Adventure,118276
1,1,Animation,13292
14.2,20,Drama,142
11,3,Adventure,6173
22.2,10,Drama,91544
12.4,20,Adventure,5157
24,30,Drama,229118
12.4,30,Adventure,3501
32,20,Thriller,72997
22,30,Fantasy,339468
30,20,Thriller,47199
6.2,1,Drama,83535
13.8,20,Adventure,28795
16.2,3,Drama,36047
12.4,30,Adventure,3704
10.6,3,Action,4633
10.4,20,Horror,26648
12.4,20,Adventure,2843
5.4,1,Adventure,491
12.4,20,Adventure,2891
10.8,20,Drama,602
18.2,3,Drama,284
12.4,3,Thriller,10166
20.2,30,Action,57854
24.6,20,Drama,997
8,1,Adventure,30
15.6,30,Drama,5841
2.8,30,Drama,127046
26,1,Drama,9057
20,20,Action,23251
26,20,Thriller,23249
10.6,3,Drama,2891
14.6,1,Adventure,2624
5,3,Comedy,339002
11.8,20,Adventure,24990
17,30,Drama,207654
20,20,Adventure,3109
13.6,20,Adventure,2595
13.6,1,Adventure,3440
12.8,30,Drama,2905
10.8,3,Drama,82732
14.8,1,Drama,197728
9.8,10,Thriller,26218
6,1,Horror,0
30,30,Adventure,21627
20.2,30,Action,66613
6.8,20,Drama,17871
9.8,10,Drama,23427
10.8,1,Drama,21159
16,20,Drama,378
26,8,Drama,3940
12.4,20,Adventure,2216
6.25,5,Drama,26
14,3,Drama,34479
8.8,1,Drama,224
16.2,1,Drama,3259
16.2,20,Drama,241227
4.8,5,Comedy,13420
20,20,Drama,134458
26,10,Drama,52163
17.6,20,Drama,89872
10.6,1,Drama,4232
2.8,1,Adventure,2439
22.2,10.5,Drama,11123
10.4,5,Drama,94
15,1,Fantasy,93730
1.4,3,Fantasy,591
7.6,8,Adventure,2298
24,20,Adventure,117312
5.6,30,Drama,15663
5.2,3,Drama,1844
3.4,20,Drama,2317
18.4,30,Fantasy,18258
28,30,Drama,94695
18.2,10,Drama,249772
