@relation 'final_predict-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT5)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT6)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT7)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT8)-weka.filters.unsupervised.instance.SubsetByExpression-Enot ismissing(ATT9)-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4-5,7-8'

@attribute actor_factor numeric
@attribute director_factor numeric
@attribute genre {Drama,Comedy,Action,Adventure,Animation,Horror,Documentary,Western,Thriller,Fantasy,History,Mystery,Romance,'Science Fiction',Family,War,Crime,Music,Foreign,'TV Movie'}
@attribute vote_en numeric

@data
20,13,Comedy,82035
15.6,3,Action,12724
24,30,Adventure,978256
16.6,20,Animation,750723
22,20,Drama,1359498
17.6,5,Drama,877098
6.8,20,Drama,316925
12.6,20,Drama,83566
28,20,Adventure,362676
1.8,8,Drama,120455
5.2,1,Drama,21823
34,20,Adventure,860714
18,30,Action,786599
21,5,Drama,149766
14.2,20,Drama,479228
21,30,Western,296477
11,1,Animation,268891
28,5,Drama,716638
4.8,20,Drama,183828
30,20,Adventure,551954
10.4,5,Drama,195475
3.75,30,Adventure,460260
26,20,Thriller,489874
2.2,20,Drama,90150
19,5,Drama,199983
22,30,Drama,41506
2.6,1,Drama,20162
15.8,30,Drama,196016
26,30,Drama,515855
6.8,1,Drama,102712
14.4,20,Drama,836434
22.4,30,Adventure,351353
26,30,Fantasy,180178
9,1,Drama,199826
10.6,30,Thriller,903679
14.2,20,Drama,494699
22.5,8,Adventure,155198
9,1,Drama,178719
1,30,Adventure,105216
20,5,Adventure,96019
1,3,Drama,44054
16.6,30,Adventure,705368
9.8,30,Adventure,353277
8.4,3,Drama,150913
21,30,Adventure,551863
8.8,1,Action,133672
29,30,Adventure,337902
8.8,8,Action,89221
12.5,3,Adventure,97962
14.4,20,Adventure,1053582
6.8,20,Drama,73125
20.2,20,Comedy,440184
20.2,20,Drama,782358
21.6,30,Drama,546877
5.2,20,Drama,167084
9.4,20,Adventure,792317
12,3,Adventure,306402
30,20,Thriller,639500
16.2,3,Drama,576036
2,3,Drama,65540
16,20,Comedy,227555
20.2,30,Comedy,577245
22.4,20,Drama,175655
22.4,3,Drama,229655
